filename,win
output/screenshots\1718764598.712018.png,1
output/screenshots\1718764599.3331702.png,1
output/screenshots\1718764599.9378798.png,1
output/screenshots\1718764607.454088.png,1
output/screenshots\1718764608.0859795.png,1
output/screenshots\1718764608.7091637.png,1
output/screenshots\1718764609.5357618.png,1
output/screenshots\1718764610.3622537.png,1
output/screenshots\1718764611.1865816.png,1
output/screenshots\1718764611.9339302.png,1
output/screenshots\1718764612.6970155.png,1
output/screenshots\1718764613.5401578.png,1
output/screenshots\1718764614.406816.png,1
output/screenshots\1718764615.2485976.png,1
output/screenshots\1718764616.0418437.png,1
output/screenshots\1718764616.778441.png,1
output/screenshots\1718764617.5857093.png,1
output/screenshots\1718764618.3797877.png,1
output/screenshots\1718764619.1410198.png,1
output/screenshots\1718764619.9113538.png,1
output/screenshots\1718764620.6575096.png,1
output/screenshots\1718764621.4271314.png,1
output/screenshots\1718764622.1997173.png,1
output/screenshots\1718764622.9569206.png,1
output/screenshots\1718764623.7056758.png,1
output/screenshots\1718764624.448767.png,1
output/screenshots\1718764625.2184734.png,1
output/screenshots\1718764626.0196214.png,1
output/screenshots\1718764626.7754838.png,1
output/screenshots\1718764627.536924.png,1
output/screenshots\1718764628.3397875.png,1
output/screenshots\1718764629.0913565.png,1
output/screenshots\1718764629.8797104.png,1
output/screenshots\1718764630.8162687.png,1
output/screenshots\1718764631.6326604.png,1
output/screenshots\1718764632.499307.png,1
output/screenshots\1718764633.3007548.png,1
output/screenshots\1718764634.1417723.png,1
output/screenshots\1718764634.9365652.png,1
output/screenshots\1718764635.7485301.png,1
output/screenshots\1718764636.5610907.png,1
output/screenshots\1718764637.2821846.png,1
output/screenshots\1718764638.0714188.png,1
output/screenshots\1718764638.8237846.png,1
output/screenshots\1718764639.5922432.png,1
output/screenshots\1718764640.3713331.png,1
output/screenshots\1718764641.1340485.png,1
output/screenshots\1718764641.9416764.png,1
output/screenshots\1718764642.6789331.png,1
output/screenshots\1718764643.4022074.png,1
output/screenshots\1718764644.1158557.png,1
output/screenshots\1718764644.9038298.png,1
output/screenshots\1718764645.6417.png,1
output/screenshots\1718764646.3516426.png,1
output/screenshots\1718764647.120267.png,1
output/screenshots\1718764647.9283361.png,1
output/screenshots\1718764648.6567109.png,1
output/screenshots\1718764649.3544455.png,1
output/screenshots\1718764650.0919027.png,1
output/screenshots\1718764691.518302.png,1
output/screenshots\1718764692.157752.png,1
output/screenshots\1718764692.7738712.png,1
output/screenshots\1718764693.53289.png,1
output/screenshots\1718764694.2709463.png,1
output/screenshots\1718764695.0862262.png,1
output/screenshots\1718764695.8257341.png,1
output/screenshots\1718764696.5714946.png,1
output/screenshots\1718764697.3025775.png,1
output/screenshots\1718764698.0418315.png,1
output/screenshots\1718764698.7728994.png,1
output/screenshots\1718764699.518383.png,1
output/screenshots\1718764700.2716963.png,1
output/screenshots\1718764701.0034554.png,1
output/screenshots\1718764701.8033924.png,1
output/screenshots\1718764702.571429.png,1
output/screenshots\1718764703.3123171.png,1
output/screenshots\1718764704.0510972.png,1
output/screenshots\1718764704.7823727.png,1
output/screenshots\1718764705.549029.png,1
output/screenshots\1718764706.2845678.png,1
output/screenshots\1718764707.0171778.png,1
output/screenshots\1718764707.7915084.png,1
output/screenshots\1718764708.5322285.png,1
output/screenshots\1718764709.291226.png,1
